iter	Passed	Remaining
0	140	140019
1	142	70959
2	143	47831
3	146	36418
4	147	29415
5	150	24912
6	152	21575
7	154	19108
8	155	17170
9	158	15654
10	159	14303
11	160	13196
12	161	12277
13	163	11495
14	165	10867
15	167	10278
16	168	9768
17	170	9321
18	172	8925
19	174	8558
20	175	8204
21	178	7950
22	179	7625
23	181	7377
24	182	7125
25	184	6904
26	185	6676
27	186	6474
28	188	6302
29	189	6131
30	191	5978
31	193	5847
32	194	5704
33	196	5577
34	198	5460
35	199	5355
36	201	5248
37	203	5143
38	204	5046
39	206	4958
40	208	4871
41	209	4772
42	209	4673
43	211	4586
44	212	4507
45	213	4428
46	214	4350
47	215	4279
48	216	4204
49	217	4139
50	218	4074
51	219	4009
52	220	3947
53	221	3885
54	222	3824
55	223	3769
56	224	3714
57	225	3660
58	226	3614
59	227	3562
60	228	3511
61	228	3461
62	229	3414
63	230	3370
64	231	3333
65	232	3289
66	233	3251
67	234	3208
68	234	3166
69	235	3125
70	236	3089
71	236	3052
72	237	3016
73	238	2980
74	238	2945
75	239	2914
76	240	2880
77	240	2847
78	241	2815
79	242	2785
80	242	2755
81	243	2728
82	244	2696
83	244	2667
84	245	2640
85	245	2614
86	246	2587
87	247	2561
88	247	2535
89	248	2511
90	249	2487
91	250	2468
92	250	2446
93	251	2424
94	252	2403
95	252	2381
96	253	2359
97	254	2338
98	254	2318
99	255	2299
100	256	2279
101	256	2260
102	257	2241
103	257	2222
104	258	2203
105	259	2185
106	259	2166
107	260	2149
108	260	2132
109	261	2116
110	262	2102
111	263	2086
112	264	2075
113	265	2059
114	265	2043
115	266	2028
116	266	2011
117	267	1997
118	268	1984
119	269	1974
120	269	1960
121	270	1946
122	271	1934
123	272	1922
124	272	1908
125	273	1895
126	273	1882
127	274	1871
128	275	1862
129	276	1850
130	277	1840
131	278	1828
132	278	1816
133	279	1804
134	279	1793
135	280	1783
136	281	1774
137	282	1765
138	283	1755
139	284	1745
140	284	1735
141	285	1723
142	285	1713
143	286	1703
144	288	1698
145	289	1691
146	290	1683
147	290	1674
148	291	1664
149	291	1654
150	292	1645
151	293	1637
152	294	1631
153	295	1622
154	296	1614
155	296	1605
156	297	1597
157	298	1588
158	298	1580
159	300	1575
160	300	1567
161	302	1562
162	302	1554
163	303	1546
164	304	1538
165	304	1530
166	305	1522
167	306	1516
168	307	1510
169	308	1504
170	308	1497
171	309	1490
172	310	1483
173	311	1476
174	311	1469
175	312	1463
176	313	1456
177	313	1450
178	314	1444
179	315	1438
180	316	1431
181	317	1425
182	317	1418
183	318	1414
184	320	1410
185	321	1405
186	321	1399
187	322	1394
188	323	1387
189	324	1381
190	324	1376
191	325	1370
192	326	1365
193	327	1360
194	328	1355
195	328	1349
196	329	1343
197	330	1337
198	330	1332
199	332	1328
200	333	1323
201	333	1318
202	334	1314
203	335	1308
204	335	1302
205	336	1297
206	337	1293
207	338	1288
208	339	1283
209	339	1278
210	340	1274
211	341	1268
212	341	1263
213	343	1260
214	344	1256
215	345	1252
216	346	1248
217	346	1244
218	347	1239
219	348	1234
220	348	1229
221	349	1225
222	350	1220
223	351	1217
224	352	1212
225	352	1208
226	353	1203
227	354	1198
228	354	1193
229	355	1190
230	356	1186
231	357	1182
232	358	1178
233	358	1174
234	359	1170
235	360	1166
236	360	1162
237	361	1157
238	362	1153
239	363	1150
240	364	1146
241	364	1143
242	365	1139
243	366	1134
244	366	1130
245	367	1127
246	368	1124
247	369	1120
248	370	1117
249	370	1112
250	371	1108
251	372	1104
252	372	1100
253	373	1096
254	374	1093
255	375	1092
256	376	1089
257	377	1085
258	378	1082
259	378	1078
260	379	1074
261	380	1072
262	381	1069
263	382	1066
264	383	1063
265	384	1060
266	384	1056
267	385	1053
268	386	1049
269	387	1046
270	388	1044
271	388	1041
272	389	1037
273	390	1033
274	390	1030
275	391	1026
276	392	1023
277	392	1019
278	393	1017
279	394	1014
280	395	1011
281	395	1007
282	396	1004
283	396	1000
284	397	997
285	398	993
286	399	991
287	400	988
288	400	986
289	401	983
290	402	979
291	402	976
292	403	973
293	403	970
294	404	966
295	405	963
296	406	962
297	407	959
298	407	956
299	408	953
300	409	950
301	409	947
302	410	945
303	411	942
304	412	940
305	413	938
306	414	935
307	415	933
308	415	930
309	416	927
310	417	925
311	418	922
312	419	920
313	419	917
314	420	914
315	421	911
316	421	908
317	422	905
318	423	903
319	424	902
320	425	899
321	426	897
322	426	894
323	427	891
324	428	889
325	429	887
326	429	884
327	430	882
328	431	879
329	432	877
330	432	874
331	433	871
332	433	869
333	434	866
334	435	863
335	435	861
336	436	858
337	437	856
338	437	853
339	438	851
340	439	848
341	439	845
342	440	843
343	441	841
344	442	839
345	442	837
346	443	834
347	444	832
348	444	830
349	445	827
350	446	824
351	446	822
352	447	819
353	447	817
354	448	814
355	449	812
356	449	810
357	450	808
358	451	805
359	451	803
360	452	800
361	453	798
362	453	795
363	454	793
364	455	791
365	455	789
366	456	787
367	457	785
368	457	782
369	458	780
370	459	778
371	459	776
372	460	774
373	461	772
374	462	770
375	462	767
376	463	765
377	464	763
378	464	761
379	465	758
380	465	756
381	466	755
382	467	753
383	468	751
384	468	748
385	469	747
386	470	744
387	470	742
388	471	740
389	472	738
390	472	736
391	473	735
392	474	733
393	475	731
394	476	729
395	476	727
396	477	725
397	477	722
398	478	721
399	479	719
400	480	717
401	480	715
402	481	713
403	482	711
404	482	709
405	483	707
406	483	705
407	485	704
408	485	702
409	486	700
410	487	698
